Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/192,19.0,1,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/193,15.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/194,7.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/195,12.0,0,0,0,2.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/196,12.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/197,4.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/198,14.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/199,51.0,0,0,0,11.0,10.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/200,12.0,0,0,0,2.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/201,12.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/202,4.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/203,19.0,1,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/204,11.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/205,12.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/206,12.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/207,6.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/208,17.0,0,2,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/209,14.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/210,4.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/211,16.0,0,0,0,4.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/212,5.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/213,12.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/214,15.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/215,18.0,0,3,0,4.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/216,9.0,0,0,0,2.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/217,19.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/218,20.0,0,1,0,5.0,5.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/219,17.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/220,57.0,1,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/221,20.0,0,1,0,6.0,5.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/222,13.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/223,13.0,0,0,0,4.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/224,19.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/225,14.0,0,0,0,5.0,5.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/226,4.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/227,98.0,0,6,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/228,70.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/229,18.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/230,21.0,0,1,0,7.0,6.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/231,31.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/232,14.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/233,13.0,0,0,0,2.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/234,16.0,0,3,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/235,10.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/236,15.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/237,19.0,0,1,0,3.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/238,15.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/239,17.0,0,4,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/240,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/241,12.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/242,15.0,0,1,0,4.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/243,11.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/244,11.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/245,12.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/246,14.0,0,2,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/247,12.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/248,20.0,0,1,0,3.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/249,9.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/250,11.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/251,5.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/252,65.0,0,3,0,32.0,31.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/253,13.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/254,7.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/255,13.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/256,20.0,0,0,0,5.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/257,8.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/258,19.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/259,13.0,0,2,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/260,4.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/261,12.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/262,8.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/263,18.0,0,0,0,5.0,7.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/264,11.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/265,9.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/266,17.0,0,0,0,4.0,4.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/267,13.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/268,3.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/269,15.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/270,5.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/271,5.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/272,33.0,0,1,0,4.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/273,44.0,0,2,0,4.0,3.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,BigCodeBench/274,33.0,1,0,0,5.0,5.0
